technique,variant,time_s,final_loss,memory_metric,memory_value_MB,notes
1. Tensor Creation,CPU create,0.2151,,CPU RSS (n/a),,"4096x4096 randn, mean of 5 reps"
1. Tensor Creation,MPS create,0.0061,,n/a,,"4096x4096 randn, mean of 5 reps"
1. Tensor Creation,CPU matmul,0.1664,,n/a,,"4096x4096 matmul, mean of 5 reps"
1. Tensor Creation,MPS matmul,0.1698,,n/a,,"4096x4096 matmul, mean of 5 reps, 0.98x speedup vs CPU"
2. Weight Init,default,0.4249,1.9414,CPU RSS delta,0.7,"first_loss=2.5288, time=best of 3 runs (+1 untimed warmup)"
2. Weight Init,xavier,0.4229,1.7263,CPU RSS delta,-1.94,"first_loss=2.9221, time=best of 3 runs (+1 untimed warmup)"
2. Weight Init,kaiming,0.4241,2.1366,CPU RSS delta,0.59,"first_loss=2.6955, time=best of 3 runs (+1 untimed warmup)"
2. Weight Init,zeros,0.4221,2.3017,CPU RSS delta,0.3,"first_loss=2.3026, time=best of 3 runs (+1 untimed warmup)"
3. Activation Checkpointing,checkpoint=False,5.3373,1.1995,"MPS activation memory (forward, MB)",50.02,"hidden=2048, blocks=12, batch=128, time=best of 3 runs"
3. Activation Checkpointing,checkpoint=True,6.8586,1.1995,"MPS activation memory (forward, MB)",15.0,"hidden=2048, blocks=12, batch=128, time=best of 3 runs"
4. Gradient Accumulation,direct B=64,0.4239,1.9414,CPU RSS delta,-0.31,"1 fwd/bwd per optimizer step, time=best of 3 runs (+1 untimed warmup)"
4. Gradient Accumulation,accum 4x micro-B=16,1.5421,1.9414,CPU RSS delta,1.09,"4 fwd/bwd per optimizer step, time=best of 3 runs (+1 untimed warmup)"
5. Mixed Precision,fp32_mps,0.4211,1.9414,CPU RSS delta,-2.31,"worked, time=best of 3 runs (+1 untimed warmup)"
5. Mixed Precision,amp_fp16_mps,0.5428,1.9413,CPU RSS delta,0.5,"worked, time=best of 3 runs (+1 untimed warmup)"
5. Mixed Precision,amp_bf16_mps,0.5367,1.941,CPU RSS delta,-0.42,"worked, time=best of 3 runs (+1 untimed warmup)"
5. Mixed Precision,fp32_cpu,0.4177,1.9414,CPU RSS delta,0.0,"worked, time=best of 3 runs (+1 untimed warmup)"
5. Mixed Precision,amp_bf16_cpu,19.2929,1.9417,CPU RSS delta,-10.89,"worked, time=best of 3 runs (+1 untimed warmup)"
